,Zone Name,VRF Terminal Name,Cooling Coil Name,Heating Coil Name
77,THERMAL ZONE: UNIT_0512,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0512,Zone HVAC Terminal Unit Variable Refrigerant Flow 66 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 66 Heating Coil
78,THERMAL ZONE: UNIT_0513,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0513,Zone HVAC Terminal Unit Variable Refrigerant Flow 67 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 67 Heating Coil
79,THERMAL ZONE: UNIT_0514,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0514,Zone HVAC Terminal Unit Variable Refrigerant Flow 68 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 68 Heating Coil
80,THERMAL ZONE: UNIT_0515,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0515,Zone HVAC Terminal Unit Variable Refrigerant Flow 69 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 69 Heating Coil
81,THERMAL ZONE: UNIT_0516,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0516,Zone HVAC Terminal Unit Variable Refrigerant Flow 70 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 70 Heating Coil
82,THERMAL ZONE: UNIT_0517_4B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0317_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 38 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 38 Heating Coil
83,THERMAL ZONE: UNIT_2101_4B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0201_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Heating Coil
84,THERMAL ZONE: UNIT_2102,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2102,Zone HVAC Terminal Unit Variable Refrigerant Flow 76 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 76 Heating Coil
85,THERMAL ZONE: UNIT_2103,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2103,Zone HVAC Terminal Unit Variable Refrigerant Flow 77 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 77 Heating Coil
86,THERMAL ZONE: UNIT_2104,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2104,Zone HVAC Terminal Unit Variable Refrigerant Flow 78 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 78 Heating Coil
87,THERMAL ZONE: UNIT_2105,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2105,Zone HVAC Terminal Unit Variable Refrigerant Flow 79 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 79 Heating Coil
88,THERMAL ZONE: UNIT_2106,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2106,Zone HVAC Terminal Unit Variable Refrigerant Flow 80 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 80 Heating Coil
89,THERMAL ZONE: UNIT_2107_3B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0307_3B,Zone HVAC Terminal Unit Variable Refrigerant Flow 36 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 36 Heating Coil
90,THERMAL ZONE: UNIT_2108,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2108,Zone HVAC Terminal Unit Variable Refrigerant Flow 81 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 81 Heating Coil
91,THERMAL ZONE: UNIT_2109_2B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0309_2B,Zone HVAC Terminal Unit Variable Refrigerant Flow 37 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 37 Heating Coil
92,THERMAL ZONE: UNIT_2110,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2110,Zone HVAC Terminal Unit Variable Refrigerant Flow 82 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 82 Heating Coil
93,THERMAL ZONE: UNIT_2111,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2111,Zone HVAC Terminal Unit Variable Refrigerant Flow 83 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 83 Heating Coil
94,THERMAL ZONE: UNIT_2112,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2112,Zone HVAC Terminal Unit Variable Refrigerant Flow 84 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 84 Heating Coil
95,THERMAL ZONE: UNIT_2113,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2113,Zone HVAC Terminal Unit Variable Refrigerant Flow 85 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 85 Heating Coil
96,THERMAL ZONE: UNIT_2114,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2114,Zone HVAC Terminal Unit Variable Refrigerant Flow 86 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 86 Heating Coil
97,THERMAL ZONE: UNIT_2115,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2115,Zone HVAC Terminal Unit Variable Refrigerant Flow 87 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 87 Heating Coil
98,THERMAL ZONE: UNIT_2116,VRF Heat Pump - vrf_zones_21-1 - Thermal Zone: Unit_2116,Zone HVAC Terminal Unit Variable Refrigerant Flow 88 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 88 Heating Coil
99,THERMAL ZONE: UNIT_2117_4B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0317_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 38 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 38 Heating Coil
100,THERMAL ZONE: XFMR_0201,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0201_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Heating Coil
101,THERMAL ZONE: XFMR_0401,VRF Heat Pump - vrf_zones_04-2 - Thermal Zone: Unit_0401_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 53 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 53 Heating Coil
